Category,Model_Type,Test_Records,MAE,RMSE,R2_Score
3-Wheelers,Specialized Monthly,93,20.42478384162265,32.735182727649175,0.9381984228013098
Bus,Specialized Monthly,93,2.934971178989571,4.203839901494035,0.9351014690555884
2-Wheelers,Standard Daily,6794,0.043553702165713436,0.07348761192659126,0.9999952082375642
4-Wheelers,Standard Daily,6828,0.003761540750025943,0.005709772101255438,0.9999992314094078
Others,Standard Daily,6794,4.473944967140635e-06,4.819908329724784e-05,0.9999999997707456
