Metric,EV_Dataset.csv,Data_Push_Pipeline
MAE,6.191990756888734,6.191990756888734
R²,-0.9719725851424443,-0.9719725851424443
Processing_Time_ms,19374.9942779541,19302.055835723877
Total_Records,45872.0,45872.0
