Metric,EV_Dataset.csv,Data_Push_Pipeline
MAE,19.62740500320152,111.12807881773399
R²,-0.9990571683643101,-0.885285006509505
Processing_Time_ms,46955.448627471924,198.7156867980957
Total_Records,226455.0,812.0
